zoo_label,tau,nearest_zoo,nearest_cograph,status,cograph_measure,call,definition_source,verification,verified_scope,note
DK-based gravity model (DKGM),0.96,Hubbel,hubbell,implemented,dkgm,"centrality(x, measures = ""dkgm"")","Li-Huang2021 DOI10.1038/s41598-021-01218-1 eq1-3, Algorithm1, Figure1 and Tables1-5; primary PDFpages2-4 visually read, PDF SHA256 99830c24e048e5ed0d975c1505b3421b30e94b640ebc390e6ae07f74538c1b98","batch40/run_equivalence.R: independent NetworkX node-deletion peeling cross-checked against core_number, BFS distances and exact Fraction sums; exhaustive induced-subset cores and integer-power distances through5 vertices; published_audit.R reproduces all45 printed Table1-5 entries and the printed node-3 worked example","simple undirected unweighted graphs; every radius setting including NULL/Inf, fractional and the paper's half-mean-distance rule; disconnected graphs and isolates","Default radius2 is the paper's printed Table5 setting; the paper recommends 2 or 3 generally and eq4 R*=<d>/2, exposed as dkgm_radius='auto' with cograph rounding (ties to even, minimum1) and reachable-pair mean. Algorithm1 prints degree exactly k but its stage loop ends at degree>k and the Methods define k-shell by degree<=k; the at-most reading is the only terminating one and reproduces Tables2-5. Removal inside a stage is simultaneous. The level starts at1, so isolates land in the one-shell rather than coreness0; they carry no edges so no other node changes. Stages reset per shell while max q(k)+1 is one global denominator, so adding a disconnected component that peels in more stages changes every raw score; this is the published definition, not a cograph choice. Simple undirected unweighted skeleton; loops/parallels removed; weights/mode/inversion/cutoff/gravity_mass ignored; isolates and radii below1 give0; empty graphs return no scores. No author-software parity claim; no author code was located"
Local neighbor contribution (LNC),0.959,Infection number,infection,implemented,lnc,"centrality(x, measures = ""lnc"")","Dai-Wang-Sheng-Sun-Khawaja-Ullah-Dejene-Duan2019 DOI10.1109/ACCESS.2019.2939804 IEEEAccess7:131719-131731, Definitions1-5, eqs(1)-(6) and Algorithm1 journal pp131721-131723, with the Figure1 graph and Table1 on p131720; the ORIGINAL open-access PDF was obtained and read - IEEE Xplore refuses non-browser clients, so the copy read is the Internet Archive capture of 2023-11-17 of the publisher ielx7 PDF, SHA256 7db704bad41e7fce221fbe7ad06733a1d11fa259811f3702f3d93f1429ecbe0b recomputed this session; PDF pages2, 3, 4 and5 rendered at 200dpi and visually read, plus a 400dpi crop of the Figure1 graph for the edge transcription","batch44/run_equivalence.R: five references, none using production's dense `A %*% rowSums(A)` with a float64 `^` - NetworkX neighbour lists in exact Fractions, the cluster degree read off an exact object-dtype integer A^2 (rebuilt by a pure-Python triple loop through6 vertices), the binomial factor expanded as an alternating exact-rational sum with the cluster degree from explicit ordered length-two walk enumeration, mpmath dps60, and a separate exact ownCon/neiCon split that also asserts the alternative literal split gives the same product; a fourth brute-force cluster-degree route with its own pair-scan degree assertion runs on the exhaustive part of the collection; all5,532 fixtures, with the sum-of-cluster-degrees=sum-of-squared-degrees identity, the r-regular closed form, the zero-iff-isolate classification and degree agreement as invariants, plus wrapper, normalization, permutation and input-projection checks; published_audit.R reproduces all11 printed Table1 influences, the printed ranking, the three printed v5 intermediates D=12, ownCon=1.6875, neiCon=19.2 and the Figure1 caption counts","simple undirected unweighted graphs; parameter-free, so the whole measure; disconnected graphs, isolates, singleton and empty graphs","LNC(i) = d_i^3 (1-1/d_i)^(d_i-1) (sum_{j in N(i)} d_j)/(n-1), with 0^0:=1 at d_i=1 and n the vertex count of the WHOLE graph as eq(1) states, so raw scores are not comparable across graphs of different order: adding a disconnected component multiplies every score by (n-1)/(n'-1) and leaves the ranking alone. Parameter-free, which the paper advertises as a contribution, so cograph exposes no tuning argument. The printed equations do NOT literally give the printed numbers and cograph follows the numbers: eqs(4) and(5) both sum over j=1..k and k is described three incompatible ways - the prose calls it the number of nearest plus next nearest neighbours, Algorithm1 line12 sets it to G.degree(v), and eq(5) taken literally carries one factor d_i too many, giving ownCon(v5)=6.75 against the printed1.6875 (recomputed this session). Since P(v_j)DC(v_j)=(1/d_j)(d_j/(n-1))=1/(n-1) the inner sum of eq(4) collapses to a count, and inverting each of the eleven printed Table1 influences gives k=d_i^2 at every node, while eq(5) needs k=d_i; the two-hop sizes the prose and the Zoo would use are 7,4,4,4,8,5,5,7,6,3,3 for nodes1..11 on this graph and match neither d_i nor d_i^2 anywhere. The equally literal split that moves one d_i from neiCon to ownCon gives the same product, asserted exactly on all5,532 fixtures, so the measure itself is unambiguous. Reproduced this session: all11 printed Table1 influences 32.4,29.7,18.9,9.6,3.2,3.2,2.0,2.0,0.4,0.4,0.4, the printed ranking, and the printed v5 intermediates D(v5)=12, ownCon(v5)=1.6875, neiCon(v5)=19.2, from the Figure1 edge list 2-1,1-3,1-4,1-5,5-6,5-7,5-8,6-8,7-8,8-9,9-10,9-11,10-11 transcribed off a 400dpi crop and checked against the paper's own printed D(v5). Zoo2.238 is WRONG and is not implemented: it prints O_c(i)=d_i |N^(<=2)(i)| sum_{j in N^(<=2)(i)} (1/d_j)(1-1/d_j)^(|N^(<=2)(i)|-1), replacing the focal node's P(v_i) by the neighbour's P(v_j) and the binomial count d_i by the two-hop size, and its N_c uses that same two-hop size where the printed numbers need d_i^2; recomputed here it reproduces none of the eleven printed values and inverts the paper's headline, giving v8=32.23>v5=28.90 where the paper prints v5=32.4>v8=29.7, and lifting v9 above v1 where the paper prints18.9>9.6. QUALIFICATION on the research audit that preceded this batch (candidate_review40/local-neighbor-contribution.md): its claim that the Zoo reading also lifts the degree-two v6,v7 above the degree-three v9 is wrong - on the Zoo's own numbers, which this session reproduces exactly, v9=15.65>v6=v7=13.38 - and its per-degree two-hop sizes '4,6,6,8' treat the size as a function of the degree, which it is not: recomputed here the degree-two nodes give 5,5,3,3 rather than6 and the degree-four nodes 7,8,7 rather than a uniform8, though its degree-one4 and degree-three6 are right and its conclusion that |N^(<=2)| is ruled out stands. Neither affects the implemented formula. Simple undirected unweighted skeleton; loops/parallels removed; weights/mode/inversion/cutoff ignored. Isolates are outside the definition, since P(v_i)=1/0, and score0 by explicit cograph extension, written before the division so the singleton graph, where n-1 is also zero, returns0 rather than NaN; empty graphs return no scores. Nothing overflows: d^3 is bounded by n^3, the neighbour-degree sum by 2m and the binomial factor lies in[1/4,1]. No normalization in the source; normalized=True max-scales as a cograph convention. No author software exists and no spreading-performance claim is made"
Mapping Entropy Betweenness (MEB),0.959,Bridging centrality,bridging,pending review,,,,,,"Gialampoukidis et al. EISIC2016 DOI10.1109/EISIC.2016.029 published PDF read: -BC_i sum_neighbor log(BC_j), normalized BC. Zero-betweenness neighbors create log0 and 0*Inf; source does not specify handling. Do not invent epsilon or omission policy"
Lhc method,0.959,Infection number,infection,implemented,lhc,"centrality(x, measures = ""lhc"")","Wang-Yang-Liu-Ma2021 DOI10.1371/journal.pone.0251208 PLoS ONE16(5):e0251208, eq(1) and its full symbol list on journal p3, eq(2), the 'distance ranged d is set to be 2' sentence and Algorithm1 on p4, and the d sweep reporting 'the optimal value of d is about 2-3' on p7; the PUBLISHER PDF WAS READ (fully open access, CC-BY), retained as batch48/lhc_wang2021_plosone.pdf with SHA256 e16c1c4ef492748a1bfcbf414e66dd1693b3ac46e99b7251b7f62b5545332bd2, RECOMPUTED THIS SESSION; p3 and p4 were rendered and VISUALLY INSPECTED, and p3 was additionally re-rendered at 400dpi and cropped around eq(1) and around the TNTS sentence (batch48/png/eq1_zoom.png and batch48/png/tnts_zoom.png) BECAUSE pdftotext MANGLES THE STACKED FRACTION '1/3 * TNTS' INTO '13 * TNTS' and a transcription error there moves every score by up to 25 percent. Definition: C(v)=sum over u with 1<=dist(u,v)<=d of k_u(1+TP(u))/dist(u,v)^2 with TP(u)=NTS(u)/TNTS, NTS(u) the number of triangles containing u and TNTS=sum_u NTS(u); then Lhc(v)=sum over w in the open neighbourhood tau(v) of C(w). Default radius d=2. THE PAPER PRINTS NO TOY GRAPH AND NO PER-NODE SCORE TABLE (Table1 is network statistics, Figs1-7 are aggregate SIR/CCDF/Kendall plots), so there is no published numerical fixture; every number recorded for this row was computed in this session. No author code exists; the Zoo lists implementations as TBA and no author-software parity is claimed","batch48/run_equivalence.R: 436,150 comparisons / 1,680,683 scalar values, ZERO failures, maximum scaled error 9.632896e-16 at tolerance 1e-11, over all 5,532 retained fixtures crossed with five lhc_radius settings - the lower boundary1, the source's default2, the3 its sweep also calls optimal, an intermediate5, and 60, far above every fixture's diameter. THREE REFERENCES that fail differently from production and from each other: (a) 'vectorised', dense float64 NumPy with triangle counts from the diagonal of the integer cube A@A@A halved, distances from scipy.sparse.csgraph.shortest_path and the score as matrix-vector products (27,660 comparisons); (b) 'definitional', PURE PYTHON WITH NO MATRIX OF ANY KIND, triangle counts from networkx.triangles, distances from networkx.single_source_shortest_path_length (a BFS per source) and eqs(1) and(2) accumulated by explicit loops over Phi(v) and tau(v) exactly as printed (27,660); (c) 'exact', EXACT fractions.Fraction ARITHMETIC END TO END WITH NO FLOATING POINT ANYWHERE and triangle counts by EXHAUSTIVE ENUMERATION OF EVERY NODE TRIPLE with itertools.combinations, on the n<=8 part of the collection (26,700). Production instead masks A@A with A, uses cograph's own Dijkstra and accumulates C with a mask, so the only primitive shared with all three is the notion of a hop distance and the only one shared with (a) is that triangles can be read off a matrix power; (b) and (c) share neither. The kernel's intermediate columns were checked separately against the definitional route: degree, NTS, TP and C each at 27,660 comparisons, plus TNTS and the distinct-triangle count at 27,660 each. Wrapper, normalized=True, node-permutation and input-projection (weights*13, loops, mode='in', cutoff=1, invert_weights) checks each ran at every setting, 27,660 comparisons apiece. INVARIANTS at 5,532 each: sum_u TP(u)=1 whenever TNTS>0; TNTS=3*Delta against an INDEPENDENT unordered-triple enumeration; the three triangle-count routes agreeing node by node; isolates scoring zero; padding with a fresh isolate leaving every existing score untouched; widening the radius being monotone; the triangle-free branch collapsing to the pure degree-over-squared-distance sum; and the score saturating beyond the eccentricity. The radius-1 collapse to sum over u in N(v) of k_u(1+TP(u)) was checked separately on all 5,532. FOUR HAND-DERIVED CLOSED FORMS replace the missing published table: a star with m leaves scores m*(m+(m-1)/4) at the centre and m at each leaf for radius>=2 and m*m and m at radius1 (24 comparisons); K_n scores (n-1)^3(n+1)/n at every node for every radius, 76.8 on K_5 (21); a triangle-free ring C_n with n>2*radius scores 2*sum_{d=1..radius}4/d^2 at every node (18); and the path1-2-3 scores 2, 4.5, 2 at radius2 (3). The C_3 boundary is asserted rather than assumed: C_3 is K_3, is NOT triangle-free, and follows the complete-graph form 32/3 and not the ring form 8 - the first sweep applied the ring form at n=3 and failed at scaled error 0.3333333, which was fixed by correcting the harness precondition and NOT by widening the tolerance. NON-LOCALITY IS ASSERTED IN BOTH DIRECTIONS on the Krackhardt kite: a disjoint isolate and a disjoint edge each leave all ten scores bit-identical, while a disjoint triangle moves every one of them and the 13-node result still matches the reference recomputed from scratch. Degenerate graphs: empty returns no scores, singleton and edgeless return zeros. Eight out-of-domain lhc_radius values (0, -1, 0.5, 2.5, NA, Inf, a length-two vector and a string) all raise cograph_bad_parameter, and integer storage 2L gives the double 2 answer. 166 public-test expectations passed with zero warnings","simple undirected unweighted graphs; lhc_radius at the lower boundary 1, the source's default 2, the other value its sweep calls optimal, an intermediate 5 and a radius far above every fixture's diameter; triangle-carrying and triangle-free graphs, disconnected graphs, isolates, edgeless and singleton graphs under stated extensions","THE DENOMINATOR OF THE TRIANGLE SHARE IS TNTS, NOT THE NUMBER OF TRIANGLES, AND THE PAPER SETTLES IT RATHER THAN THE ZOO: eq(1) p3 is C(v)=sum over u with 1<=dist(u,v)<=d of k_u(1+TP(u))/dist(u,v)^2 with TP(u)=NTS(u)/TNTS, and eq(2) p4 is Lhc(v)=sum over w in the OPEN neighbourhood tau(v) of C(w). Immediately after defining TNTS=sum_u NTS(u) the source writes that 'the total number of triangle structure exists in the network are 1/3 * TNTS', so TNTS=3*Delta and sum_u TP(u)=1 exactly. Zoo 2.221 (comparison-matrix label 'Lhc method', encyclopedia heading 'Lhc index') transcribes the structure of both equations correctly but names the denominator 'Delta, the total number of triangular structures in the network', which read literally is three times too small; on the Krackhardt kite the paper's reading scores node1 at 3305/33=100.15152 where the Zoo's literal wording gives 1380/11=125.45455 (Kendall tau1.0 on that particular graph, but the two are not related by a monotone transform in general). cograph follows the paper; the divergence is reproduced in kite_worked.csv only to show its size. THE COEFFICIENT WAS READ OFF THE PAGE IMAGE AT 400dpi, NOT FROM pdftotext, which mangles the stacked fraction into '13 * TNTS'; a transcription error there would move every score by up to 25 percent. BOTH NEIGHBOURHOODS ARE OPEN: Phi(v) is 1<=dist<=lhc_radius, the focal node excluded because dist^2(vv)=0 would divide by zero and unreachable nodes falling outside the radius so no infinity arises; tau(v) is N(v). It follows, though the source does not remark on it, that v DOES enter its own Lhc(v), lying at distance1 inside Phi(w) for every neighbour w. TRIANGLE-FREE GRAPHS ARE AN EXPLICIT COGRAPH DECISION THE SOURCE NEVER MAKES: every tree, star, path, even cycle and bipartite graph has TNTS=0 and TP(u)=0/0 at every node. Because TNTS is a sum of nonnegative counts it vanishes exactly when every numerator NTS(u) vanishes too, so there is no share to distribute and no node with a claim on one; TP is written as ZERO and the index reduces to the pure sum over w in N(v) of sum over u in Phi(w) of k_u/dist(uw)^2, the neighbour-and-location half of the hybrid with the triangle half contributing nothing. The test is made on TNTS BEFORE ANY DIVISION so no 0/0 is evaluated; this is a documented branch, not a silent zero, and NA or an error would refuse every tree. RAW SCORES ARE NOT COMPONENT-LOCAL because TNTS is a global sum: attaching a disconnected component carrying a triangle rescales every TP and moves every score (the kite plus a disjoint triangle moves all ten scores), while attaching a TRIANGLE-FREE component - an isolate or a disjoint edge - changes nothing, since it changes no degree, no triangle and no finite distance. Both halves are asserted. ISOLATES score a DERIVED zero because tau(v) is empty and eq(2) is an empty sum; a singleton and every node of an edgeless graph score zero for the same reason; empty graphs return no scores. lhc_radius IS THE SOURCE'S OWN PARAMETER d, EXPOSED WITH THE SOURCE'S DEFAULT 2 (p4, 'the distance ranged d is set to be 2'), which section3 sweeps over eleven real networks reporting 'the optimal value of d is about 2-3' and stability beyond 3 (p7). At lhc_radius=1 the ball collapses to the neighbours and C(v) becomes sum over u in N(v) of k_u(1+TP(u)); at or above the graph radius the ball has saturated and the score stops moving. Domain is a whole number >=1; zero, negative, fractional, NA, Inf, non-scalar and non-numeric raise cograph_bad_parameter rather than being truncated. Simple undirected unweighted skeleton; direction, weights, loops and parallel edges are dropped because k_u is a count, dist(uv) a hop count and NTS(u) combinatorial; mode, cutoff and invert_weights ignored; normalized=True max-scales, the source stating no normalization. NOT marked costly: one all-pairs shortest-path solve and one A.A product, the same order as closeness or gravity, neither of which is held back from type='all'. THERE IS NO PUBLISHED NUMERICAL EXAMPLE: the paper prints no toy graph and no per-node score table - Table1 lists network statistics and Figs1-7 are aggregate SIR/CCDF/Kendall plots - so there is NO published_audit.R for this row and no published fixture to reproduce, which is stated rather than worked around. No author code was located; the Zoo lists implementations as TBA and no author-software parity is claimed."
KED,0.958,CollInf,collective_influence,implemented,ked,"centrality(x, measures = ""ked"")","Chen-Xiao-Zeng-Zhang2014 DOI10.1209/0295-5075/104/68006 EPL104(6):68006, eqs(1) and(2) p2 and eq(6) with its D_i definition p4; the version of record was NOT read - what was read is the author preprint arXiv:1305.7480, retained with SHA256 d5fa04bdfd6669f6bc708e1af1558f0cce5138308ce4d98df5722255d547599c recomputed this session, pages2, 3 and4 rendered at 200dpi and visually read plus a 500dpi crop of the figure1 graph, and Zoo pages117 and118 visually read for the divergence","batch45/run_equivalence.R: five references, none using production's h_i = log(K_i) - (1/K_i) sum_j k_j log(k_j) identity or its dense float64 matrix-vector products - NetworkX neighbour lists with exact Fraction probabilities and the literal eq(1) accumulated at 60 decimal digits, the same per-neighbour terms in float64 with math.fsum, a Counter-bucketed traversal summing once per distinct neighbour degree, the whole ratio taken in base ten, and exp(K/N) evaluated as exp(q)exp(r/N) from the exact integer quotient and remainder; all5,532 fixtures, with the sum-of-cluster-degrees=sum-of-squared-degrees identity, 0<=H<=1 with H=1 exactly iff the neighbour degrees are equal, entropy base invariance, the r-regular and q-star closed forms, the zero-iff-isolate classification and degree agreement as invariants, a brute-force ordered-walk cluster degree through5 vertices, plus wrapper, normalization, permutation and input-projection checks; published_audit.R reproduces both scores the paper prints for its figure1, 25.9187 and19.2212, and the figure1 caption's three structural claims","simple undirected unweighted graphs; parameter-free, so the whole measure; disconnected graphs, isolates, singleton and empty graphs. NOT the source's directed out-degree variant (its eq3), which is not implemented","KED(i) = k_i (1 + H_i) exp(K_i / N) with K_i = sum_{j in N(i)} k_j, p_j = k_j/K_i, H_i = [sum_j -p_j log p_j]/log(k_i) and N the vertex count of the WHOLE graph. Eq(2) divides the neighbour-degree entropy by the entropy of the uniform distribution on k_i outcomes, so the LOG BASE CANCELS and is not a convention to fix: this corrects the preceding research audit (candidate_review40/ked-method.md), which reports that log10 fails to reproduce the printed values. It does not; a full base-ten reading gives identical H_i, asserted to 60 digits on all5,532 fixtures as a separate reference route and checked directly on both toy graphs. What the printed values DO pin, and this session reproduces, is the '1 +' in E_i and the denominator N in D_i. H_i lies in[0,1] and equals1 exactly when the neighbour degrees are all equal, which is the paper's 1<=E_i<=2. The paper's OTHER stated range, 1<=D_i<=e, is FALSE in general: it needs K_i<=N, which holds on the sparse figure1 toys but on only1,598 of the 5,532 verification fixtures - every node of K5 has K_i=16 against N=5, so D_i=exp(3.2). cograph implements the formula, not the range claim; that is presumably why the Zoo substituted max_l K_l. Two degenerate cases are cograph decisions the paper never mentions: k_i=1 gives h_i=0 and log(k_i)=0, a 0/0 written as H=0 (the value the k_i=2 limit approaches as one neighbour's share vanishes, and the one giving a single-path node the least diversity; reading it as H=1 would double every leaf's score), and k_i=0 has both sums empty, H written as0, with the score0 regardless because k_i multiplies. N is global, so adding a disconnected component changes every raw score AND can REORDER nodes, unlike a plain rescaling, because exp(K_i/N) shrinks a large K_i more: verified this session on the 7-node graph 1-4,3-4,2-5,3-5,4-5,5-6,1-7,2-7,3-7,6-7, where adding one isolate swaps nodes3 and7 (28.7687>28.7567 becomes23.6381<24.4873). Reproduced this session: both scores the paper prints for its figure1, f=25.9187 in panel(a) and f=19.2212 in panel(b), from the two toy networks transcribed off a 500dpi crop (a: red-5 blue, each blue-3 grey leaves; b: red-4 blue leaves and1 blue hub, hub-15 grey leaves; 21 nodes each), plus the caption's three printed claims that the two red nodes have the same degree and the same second-neighbour count while their neighbour-degree distributions differ. Zoo2.215 (pages117 and118 visually inspected) is WRONG twice and is not implemented: it prints E_i = [sum -p_j log p_j]/log(k_i) with the '1 +' dropped and D_i = exp(K_i/max_l K_l) instead of exp(K_i/N), and adds tunable exponents alpha and beta with 'Chen et al. suggest using alpha = beta = 1' although no exponent appears anywhere in the paper. Recomputed here that reading gives13.5914 and6.5672 on the paper's own example; dropping the '1 +' halves panel(a) exactly, since H=1 there. The intermediate reading that keeps the '1 +' and only changes the denominator gives27.1828 and20.1586 and also reproduces neither. Simple undirected unweighted skeleton; loops/parallels removed; weights/mode/inversion/cutoff ignored. The source's directed out-degree variant (eq3) is NOT implemented, so a directed input is symmetrised rather than read as that case. Empty graphs return no scores; normalized=True max-scales as a cograph convention. Overflow: K_i/N<=(n-1)^2/n, so exp() survives to about710 vertices even on a complete graph and raises an error beyond that rather than returning Inf. No author software exists (the Zoo lists code as TBA) and no spreading-performance claim is made"
Weighted LeaderRank,0.957,Hubbel,hubbell,implemented,weighted_leaderrank,"centrality(x, measures = ""weighted_leaderrank"")",https://arxiv.org/pdf/1306.5042 section2 eq1-2; DOI10.1016/j.physa.2014.02.041,"batch22/run_equivalence.R: NetworkX lazy-chain PageRank(alpha=1), Markov-chain tree cofactors; 100-digit mpmath augmented stationary solve at exponent +/-1000","simple directed binary graphs and reciprocal-arc undirected extension; finite exponent, negative requires all original in-degrees positive","default exponent1; original in-degree ground weights; paper all-nodes-one initial mass N+1, Zoo uses N so its raw values differ by N/(N+1); no ground redistribution; max-normalized equivalent; alpha0 ground weights1 including isolates; positive alpha edgeless=NaN; input weights ignored"
Density centrality,0.957,Hubbel,hubbell,pending review,,,,,,
RMD-weighted degree (WD),0.956,Local H-index,local_hindex,pending review,,,,,,
Adaptive LeaderRank,0.955,Infection number,infection,implemented,adaptive_leaderrank,"centrality(x, measures = ""adaptive_leaderrank"")",https://doi.org/10.1016/j.physa.2016.11.034 section2.2 eq3 and algorithm steps1-4; author archive ALeaderRank2017.pdf,"batch23/run_equivalence.R: NetworkX open-neighbor H-index threshold counting and lazy-chain PageRank, Markov-chain tree cofactors, undirected reversible-conductance identity","simple directed and undirected binary graphs; all/out/in H-index conventions tested, directed choice is explicit cograph convention","original open-neighbor H-indices before ground addition; ground H=1; weights depend on every destination; source augmented mass N, ground omitted without redistribution; alr_h_mode defaults to undirected skeleton for H while retaining directed resource flow; all H=0 gives NaN"
Mixed gravitational centrality,0.955,Gravity centrality,gravity,implemented,mixed_gravity,"centrality(x, measures = ""mixed_gravity"")",Wang-Li-Xia2018 DOI10.1016/j.amc.2018.04.028 as explicitly reproduced by Li-Huang2022 DOI10.1038/s41598-022-14005-3 eq5-8; reproduction PDFp2 visually read; original full equations unread,"batch39/run_equivalence.R: NetworkX core/BFS and direct sums; exhaustive induced-subset cores, integer-power distances and exact Fraction arithmetic; public analytic stars, cliques, path5 and input projections",simple undirected unweighted graphs,"Default inner radius3 follows the explicit published reproduction; radius1 matches the Zoo literal neighbor sum. Focal core and partner degree fixed on original skeleton. Extended version sums immediate neighbors' raw MGC scores before final normalization. Source original2018 full equations/software unread; no author-code parity claim. Radius NULL/Inf allreachable, fractional literal; auto is explicit cograph rounded-half-mean heuristic. Simple undirected unweighted skeleton; loops/parallels removed; weights/mode/inversion/cutoff/gravity_mass ignored; isolates0"
k-shell hybrid method,0.955,Laplacian,laplacian,pending review,,,,,,"candidate_review40: BLOCKED, one of four labels in this family. Neither original obtained: Namtirtha, Dutta and Dutta2018 PhysicaA499:310-324 DOI10.1016/j.physa.2018.02.016 (ksh, ESKH) and Maji et al.2020 ESWA144:113092 DOI10.1016/j.eswa.2019.113092 (IKH, EIKH) are closed in Unpaywall, OpenAlex, Semantic Scholar and fatcat with no arXiv preprint; five open-access citing papers print no equations. Zoo formulas read visually (pages115, 81, 107, 82): the radical covers k_s(i)+k_s(j) only, with mu*d_j added outside, which text extraction destroys. Structure ksh(i)=sum over N^(<=l)(i) of [sqrt(ks_i+ks_j)+mu*d_j]/d_ij^2, recommended l=3, mu=0.4; IKH replaces constant mu by mu(d_ij)=2(l-d_ij+1)/(l(l+1)); ESKH and EIKH sum ksh resp. IKH over the OPEN neighbourhood. Verified exactly that mu(d) sums to1 over d=1..l for l=1..6, a normalized triangular kernel, which makes the Zoo form circumstantially plausible. Two defects carried: Zoo2.125's displayed equation is labelled c_ESKH although the section defines EIKH, and neither2.209 nor2.188 states that N^(<=l)(i) excludes i. Worked values computed that session (l=3, mu=0.4, triangle-plus-pendant): ksh a=7.732051, b=c=6.533013, d=4.198076; ESKH a=17.264102, b=c=14.265064, d=7.732051; IKH a=8.232051, b=c=7.016346, d=4.431410. All four rank identically on the test graphs, so rank checks cannot discriminate a mis-transcription. Best lead: the Maji accepted manuscript is deposited at recipp.ipp.pt/handle/10400.22/17904 with bitstreams returning HTTP401, restricted rather than missing. No fixture, no code"
Hierarchical k-shell (HKS),0.955,Eigenvector,eigenvector,pending review,,,,,,
Global and Local Structure(GLS),0.955,Laplacian,laplacian,pending review,,,,,,
Extended gravity centrality,0.954,Total communicability,communicability,implemented,extended_gravity,"centrality(x, measures = ""extended_gravity"")",https://doi.org/10.1016/j.physa.2015.12.162 eq6-7,"batch17/run_equivalence.R: NetworkX cores and BFS distances, nested neighbor-pair sums; exhaustive core oracle; radii 0/1/2/3/Inf/NULL/auto",simple undirected unweighted graphs,raw k-shell gravity summed over immediate neighbors; radius applies around each neighbor; default3 from Ma et al.; auto is an explicit cograph extension; isolates=0
Extended hybrid characteristic centrality (EHCC),0.954,Infection number,infection,implemented,ehcc,"centrality(x, measures = ""ehcc"")","Liu-Zheng2023 DOI10.1038/s41598-023-30308-5 ScientificReports13:3197 eq(5) journal p3, the closed-neighbourhood sum of HCC with the focal node counted once, and the printed worked line EHCC(a)=HCC(a)+HCC(b)+HCC(e)=4.15 and Table3 p4; same PUBLISHER PDF read as the HCC row, SHA256 f0c81bd945cd021ce3636bee9bd5fe73f37cdd9aa67a5715d4823490049b9b95","batch46/run_equivalence.R: the same four-route reference family as the HCC row, with a fourth EHCC-only route forming the closed neighbourhood as an exact object-dtype (A+I) matrix product rather than production's float64 a%*%hcc+hcc; nine of the ten printed Table3 EHCC values reproduce and the tenth, EHCC(g), is printed10.01 where the exact661/66=10.0151515 rounds to10.02, an unresolved disagreement recorded rather than tuned away","simple undirected unweighted graphs; the source's delta=0.5 and the whole stated domain [0,1] at 0, 1/4, 1/2, 3/4 and 1; disconnected graphs, isolates, edgeless and singleton graphs under stated extensions","One source and one implementation for both labels: HCC is eqs(3)-(4) and EHCC eq(5), the closed-neighbourhood sum of HCC with the focal node counted once. THE PAPER'S PRINTED STEP3 IS A TYPO: it reads S_p=arg max while the same sentence calls S_p 'the set of minimum nodes', the preceding paragraph says the minimum-extended-degree nodes are deleted, and Table2's column is headed 'Minimum extended degree' with the increasing values2, 2.5, 3, 4.5, 5, 6; the arg min reading is implemented and reproduces every printed row, while the literal arg max peel deletes {e,g} first and finishes in four rounds. The peel recomputes k^ex on the residual graph after each removal (step6) but eq(4)'s k^ex and k^ex_max are ORIGINAL-graph values: node d's original9.5 gives the printed1.86 whereas its residual6 gives1.55 against the original maximum and2.00 against the residual maximum, missing five resp. eight of the ten printed HCC values. A round removes the whole current-minimum set simultaneously, so ties need no ordering rule; production compares against the round minimum inside a relative tolerance because delta*k+(1-delta)*S is exact in binary floating point only for a dyadic delta, and the exact-rational reference agrees on every removal set on all5,532 fixtures at all five deltas. k^ex_max and pos_max are single GLOBAL constants, so the measure is NOT component-local and a disconnected addition rescales the two terms independently rather than by a common factor. hcc_delta defaults to the source's0.5 and is restricted to the source's stated[0,1]; outside it the extended degree can go negative and eq(4) divides by a nonpositive maximum, so cograph raises cograph_bad_parameter rather than extending. An isolate has extended degree0, the global minimum for every delta in[0,1], so it always leaves in round one; an edgeless graph has k^ex_max=0 and eq(4)'s first term is0/0, written as zero, leaving pos/pos_max=1/1, so every node of an edgeless graph including a singleton scores exactly1. Simple undirected unweighted skeleton; loops/parallels removed; weights/mode/inversion/cutoff ignored; directed input is symmetrised, which the source does not define; empty graphs return no scores; raw HCC lies in[0,2] and normalized=True max-scales on top of eq(4)'s own two divisions. ONE PRINTED VALUE IS NOT REPRODUCED: Table3 prints EHCC(g)=10.01 where the exact value661/66=10.0151515 rounds to10.02; 10.01 is its truncation, but six other printed cells (HCC a, b, j and EHCC d, e, i) require rounding and fail under truncation, so no single convention reproduces all twenty Table3 entries; the ranking is unaffected. The Zoo calls E-shell 'a variant of k-shell decomposition that uses d^ex(i)'; it is not one - there is no outer level loop and no repeat-until-stable inner loop - and the research note's claim that the two disagree on figure1 is CORRECTED here: only an integer-level reading disagrees there (it merges {c,h} and {a,b,i}), while a distinct-value-level reading coincides on that graph because nothing cascades; the four-node path separates them, E-shell positions1,2,2,1 against one single shell. The paper's SIR benchmark was not reproduced and no author software was located; the paper states only that it used Python3.11.0"
PhysarumSpreader,0.953,Leverage,leverage,pending review,,,,,,
k-shell based on gravity centrality (KSGC),0.953,Hubbel,hubbell,pending review,,,,,,
Node importance evaluation matrix (NIEM) method,0.953,Diffusion Degree,diffusion,pending review,,,,,,
Classified neighbors centrality,0.953,Degree,degree,pending review,,,,,,
CON score,0.952,Local entropy (LE),local_entropy,pending review,,,,,,
